BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating,Hours,Segment,SellingDates,UniqueID
97,2,1,2020-08-22 18:26:45,8.0,F3589,1,3,18,F3,2020-08-22,972020-08-22
100,2,1,2020-08-22 18:28:57,8.0,F3418,1,4,18,F3,2020-08-22,1002020-08-22
101,2,2,2020-08-22 18:29:26,8.0,F3402,1,3,18,F3,2020-08-22,1012020-08-22
30,2,1,2020-08-18 18:27:20,8.0,F4791,1,4,18,F4,2020-08-18,302020-08-18
30,2,1,2020-08-20 18:15:51,8.0,F4362,1,2,18,F4,2020-08-20,302020-08-20
31,2,1,2020-08-18 18:27:25,8.0,F4671,1,4,18,F4,2020-08-18,312020-08-18
41,2,2,2020-08-20 18:42:19,8.0,F4307,1,1,18,F4,2020-08-20,412020-08-20
59,2,1,2020-08-22 18:00:25,8.0,F4891,1,3,18,F4,2020-08-22,592020-08-22
60,2,2,2020-08-22 18:02:21,8.0,F4580,1,3,18,F4,2020-08-22,602020-08-22
62,2,2,2020-08-19 18:17:09,8.0,F4307,5,4,18,F4,2020-08-19,622020-08-19
64,2,2,2020-08-19 18:17:28,8.0,F4356,1,1,18,F4,2020-08-19,642020-08-19
75,2,1,2020-08-21 18:14:32,8.0,F4268,1,2,18,F4,2020-08-21,752020-08-21
76,2,2,2020-08-22 18:12:11,8.0,F4580,1,1,18,F4,2020-08-22,762020-08-22
77,2,1,2020-08-22 18:12:26,8.0,F4702,1,1,18,F4,2020-08-22,772020-08-22
81,2,1,2020-08-21 18:17:49,8.0,F4257,1,1,18,F4,2020-08-21,812020-08-21
82,2,1,2020-08-21 18:18:51,8.0,F4268,1,3,18,F4,2020-08-21,822020-08-21
83,2,1,2020-08-21 18:22:37,8.0,F4805,1,1,18,F4,2020-08-21,832020-08-21
89,2,1,2020-08-22 18:16:57,8.0,F4702,2,3,18,F4,2020-08-22,892020-08-22
90,2,2,2020-08-21 18:30:04,8.0,F4257,1,5,18,F4,2020-08-21,902020-08-21
110,2,1,2020-08-22 18:55:43,8.0,F4805,1,3,18,F4,2020-08-22,1102020-08-22
48,2,4,2020-08-20 19:59:41,8.0,F2125,1,4,19,F2,2020-08-20,482020-08-20
123,2,1,2020-08-18 20:19:38,8.0,F0000,3,2,20,F0,2020-08-18,1232020-08-18
216,2,1,2020-08-20 20:54:32,8.0,F0000,1,4,20,F0,2020-08-20,2162020-08-20
222,2,2,2020-08-22 20:37:50,8.0,F0000,1,4,20,F0,2020-08-22,2222020-08-22
224,2,2,2020-08-22 20:38:33,8.0,F0000,2,3,20,F0,2020-08-22,2242020-08-22
292,2,4,2020-08-18 20:53:31,8.0,F0000,1,1,20,F0,2020-08-18,2922020-08-18
315,2,1,2020-08-19 20:46:36,8.0,F0000,2,2,20,F0,2020-08-19,3152020-08-19
97,2,1,2020-08-20 20:20:28,8.0,F1112,2,3,20,F1,2020-08-20,972020-08-20
102,2,1,2020-08-18 20:13:24,8.0,F1742,1,3,20,F1,2020-08-18,1022020-08-18
125,2,1,2020-08-20 20:28:20,8.0,F1253,1,2,20,F1,2020-08-20,1252020-08-20
204,2,1,2020-08-20 20:49:19,8.0,F1495,2,1,20,F1,2020-08-20,2042020-08-20
232,2,1,2020-08-20 20:59:25,8.0,F1019,1,5,20,F1,2020-08-20,2322020-08-20
356,2,1,2020-08-19 20:54:54,8.0,F1047,3,3,20,F1,2020-08-19,3562020-08-19
79,2,1,2020-08-19 20:03:26,8.0,F2240,3,2,20,F2,2020-08-19,792020-08-19
114,2,2,2020-08-20 20:24:31,8.0,F2585,2,3,20,F2,2020-08-20,1142020-08-20
129,2,1,2020-08-19 20:12:58,8.0,F2869,1,1,20,F2,2020-08-19,1292020-08-19
130,2,1,2020-08-19 20:13:05,8.0,F2093,3,3,20,F2,2020-08-19,1302020-08-19
143,2,1,2020-08-20 20:32:04,8.0,F2795,2,3,20,F2,2020-08-20,1432020-08-20
177,2,1,2020-08-19 20:21:32,8.0,F2931,1,1,20,F2,2020-08-19,1772020-08-19
185,2,1,2020-08-19 20:23:30,8.0,F2010,2,3,20,F2,2020-08-19,1852020-08-19
225,2,1,2020-08-22 20:38:47,8.0,F2095,2,1,20,F2,2020-08-22,2252020-08-22
281,2,1,2020-08-18 20:50:34,8.0,F2221,2,2,20,F2,2020-08-18,2812020-08-18
305,2,1,2020-08-18 20:56:08,8.0,F2945,2,3,20,F2,2020-08-18,3052020-08-18
117,2,1,2020-08-18 20:18:40,8.0,F3135,1,5,20,F3,2020-08-18,1172020-08-18
125,2,1,2020-08-18 20:20:07,8.0,F3174,1,1,20,F3,2020-08-18,1252020-08-18
141,2,1,2020-08-20 20:31:53,8.0,F3449,2,2,20,F3,2020-08-20,1412020-08-20
188,2,2,2020-08-18 20:32:01,8.0,F3834,1,1,20,F3,2020-08-18,1882020-08-18
198,2,3,2020-08-18 20:33:21,8.0,F3843,2,3,20,F3,2020-08-18,1982020-08-18
220,2,1,2020-08-22 20:37:09,8.0,F3260,2,1,20,F3,2020-08-22,2202020-08-22
227,2,1,2020-08-22 20:38:56,8.0,F3801,1,1,20,F3,2020-08-22,2272020-08-22
228,2,1,2020-08-22 20:39:02,8.0,F3863,2,3,20,F3,2020-08-22,2282020-08-22
293,2,1,2020-08-19 20:42:13,8.0,F3881,2,2,20,F3,2020-08-19,2932020-08-19
343,2,4,2020-08-19 20:52:30,8.0,F3729,1,3,20,F3,2020-08-19,3432020-08-19
116,2,1,2020-08-18 20:18:18,8.0,F4108,3,3,20,F4,2020-08-18,1162020-08-18
161,2,1,2020-08-19 20:18:12,8.0,F4063,1,2,20,F4,2020-08-19,1612020-08-19
162,2,1,2020-08-19 20:18:18,8.0,F4159,1,4,20,F4,2020-08-19,1622020-08-19
174,2,1,2020-08-19 20:21:11,8.0,F4617,1,5,20,F4,2020-08-19,1742020-08-19
174,2,1,2020-08-19 20:21:11,8.0,F4617,2,2,20,F4,2020-08-19,1742020-08-19
176,2,1,2020-08-19 20:21:24,8.0,F4799,1,3,20,F4,2020-08-19,1762020-08-19
229,2,1,2020-08-22 20:39:07,8.0,F4108,1,3,20,F4,2020-08-22,2292020-08-22
313,2,1,2020-08-19 20:46:26,8.0,F4303,3,4,20,F4,2020-08-19,3132020-08-19
313,2,1,2020-08-19 20:46:26,8.0,F4303,4,2,20,F4,2020-08-19,3132020-08-19
319,2,1,2020-08-19 20:47:24,8.0,F4108,2,2,20,F4,2020-08-19,3192020-08-19
320,2,1,2020-08-19 20:47:28,8.0,F4498,2,4,20,F4,2020-08-19,3202020-08-19
131,2,1,2020-08-18 20:20:48,8.0,F5903,2,1,20,F5,2020-08-18,1312020-08-18
134,2,1,2020-08-18 20:21:28,8.0,F5656,1,1,20,F5,2020-08-18,1342020-08-18
234,2,1,2020-08-22 20:39:58,8.0,F5803,3,5,20,F5,2020-08-22,2342020-08-22
286,2,2,2020-08-20 21:13:09,8.0,F0000,1,5,21,F0,2020-08-20,2862020-08-20
334,2,2,2020-08-18 21:02:33,8.0,F0000,1,3,21,F0,2020-08-18,3342020-08-18
359,2,2,2020-08-20 21:35:05,8.0,F0000,1,2,21,F0,2020-08-20,3592020-08-20
370,2,2,2020-08-18 21:09:58,8.0,F0000,1,1,21,F0,2020-08-18,3702020-08-18
390,2,1,2020-08-18 21:16:04,8.0,F0000,1,4,21,F0,2020-08-18,3902020-08-18
404,2,2,2020-08-22 21:26:17,8.0,F0000,1,3,21,F0,2020-08-22,4042020-08-22
440,2,2,2020-08-22 21:37:03,8.0,F0000,2,2,21,F0,2020-08-22,4402020-08-22
